place,phone,address,hour,url
승촌보오토캠핑장,061-333-9638,광주 남구 승촌보길 90,,https://camp.xticket.kr/web/main?shopEncode=a1535c44b7b5b3ab38fd902f0c58f8600f1a57e45999ac4b1a7b8c321f1d2df5
주노글램핑 광주점,010-8340-7069,광주 서구 상무자유로 29-1,매일09:00-19:00,http://www.062glamping.com
광주시민의숲야영장,062-971-6467,광주 북구 추암로 190,,http://greencity.gwangju.go.kr/
acc디자인호텔,062-234-8000,광주 동구 금남로 226-11,매일00:00-24:00,http://acchotel.kr/
광주패밀리랜드 카라반 캠핑장,062-607-8088,광주 북구 우치로 677,매일00:00-24:00,http://familyland.dainkorea.co.kr/index_camping.html
노블스테이,062-445-7700,광주 광산구 임방울대로826번길 19-7,매일00:00-24:00,https://blog.naver.com/ns-hotel
탑클라우드호텔 광주점,062-972-3111,광주 광산구 임방울대로825번길 57-1,매일00:00-24:00,
이마트 광주점,062-360-0123,광주 서구 죽봉대로 61 광주 이마트,일요일10:00-23:00,http://emart.com
롯데마트 광주수완점,062-975-2500,광주 광산구 장신로 98,매일10:00-23:00,http://company.lottemart.com/suwan.mart
롯데마트 월드컵점,062-610-2500,광주 서구 금화로 240 월드컵경기장,매일10:00-23:00,http://company.lottemart.com/worldcup.mart
롯데마트 첨단점,062-962-2500,광주 광산구 첨단강변로99번길 22,매일10:00-23:00,http://company.lottemart.com/cheomdan.mart
홈플러스 계림점,062-530-8000,광주 동구 무등로 314,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0078&ind=HOMEPLUS
롯데마트 상무점,062-602-2500,광주 서구 시청로 40,평일10:00-23:00,http://company.lottemart.com/sangmu.mart
홈플러스 동광주점,062-250-8000,광주 북구 동문대로 200 삼성홈플러스,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0030&ind=HOMEPLUS
이마트 광산점,062-949-1234,광주 광산구 사암로 172 광산 이마트,일요일10:00-23:00,http://emart.com
이마트 봉선점,062-611-1234,광주 남구 봉선로 198,일요일10:00-23:00,http://emart.com
홈플러스 광주하남점,062-616-8000,광주 광산구 용아로 390,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0077&ind=HOMEPLUS
성심당 본점,1588-8069,대전 중구 대종로480번길 15,평일08:00-22:00,https://www.sungsimdang.co.kr/
옛터민속박물관,042-274-0016,대전 동구 산내로 321-35 옛터민속박물관,매일11:30-22:00,http://www.yetermuseum.com/
광천식당,062-365-2695,광주 서구 화운로322번길 13,,
오씨칼국수,042-627-9972,대전 동구 옛신탄진로 13,매일11:00-21:00,
성심당 케익부띠끄,1588-8069,대전 중구 대종로 480,평일08:00-21:30,http://www.sungsimdang.co.kr/
모루,062-376-9900,광주 서구 군분2로 11,,
태평소국밥,042-525-5820,대전 유성구 온천동로65번길 50,매일00:00-24:00,
이태리국시 본점,042-485-0950,대전 서구 둔산로31번길 31 방림빌딩 2층,평일11:30-21:30,http://www.italyguksi.com
진로집,042-226-0914,대전 중구 중교로 45-5,매일11:00-22:00,
빕스 대전둔산점,042-472-0997,대전 서구 대덕대로 243 광신빌딩 2층,매일11:30-21:00,http://www.ivips.co.kr/
성심당 본점,1588-8069,대전 중구 대종로480번길 15,평일08:00-22:00,https://www.sungsimdang.co.kr/
성심당 케익부띠끄,1588-8069,대전 중구 대종로 480,평일08:00-21:30,http://www.sungsimdang.co.kr/
모루,062-376-9900,광주 서구 군분2로 11,,
커피인터뷰,042-823-3712,대전 유성구 한밭대로371번길 25-3,매일11:00-22:00,http://coffeeinterview.com
성심당 대전역점,1588-8069,대전 동구 중앙로 215 대전역,매일06:30-23:00,http://www.sungsimdang.co.kr/
우암사적공원,042-673-9286,대전 동구 충정로 53 남간정사,매일05:00-21:00,
금강로하스대청공원,042-608-5573,대전 대덕구 대청로 607,,
