place,phone,address,hour,url
유성호텔,042-820-0100,대전 유성구 온천로 9 유성호텔,평일00:00-24:00,http://www.yousunghotel.com/
롯데시티호텔 대전,042-333-1000,대전 유성구 엑스포로123번길 33 롯데시티호텔대전,,https://www.lottehotel.com/daejeon-city/ko.html
대청호 로하스 캠핑장,042-933-6575,대전 대덕구 대청로424번길 200,매일00:00-24:00,http://www.camplohas.com/main/
대전라마다호텔,042-540-1000,대전 유성구 계룡로 127,매일00:00-24:00,https://ramadahoteldaejeon.modoo.at/
인터시티호텔,042-600-6000,대전 유성구 온천로 92,평일00:00-24:00,http://www.hotelinterciti.com/
토요코인호텔 대전정부청사앞,042-545-1045,대전 서구 둔산중로134번길 13,,http://www.toyoko-inn.co.kr
호텔3월,042-825-8000,대전 서구 둔산중로32번길 29,매일00:00-24:00,http://hotel-march.com/
호텔 그레이톤 둔산,042-482-1000,대전 서구 둔산중로 70,,http://www.graytone.co.kr/
상소오토캠핑장,042-273-4174,대전 동구 산내로 748 상소동오토캠핑장,,http://www.sangsocamping.kr/camping.asp?location=001
홈플러스 유성점,042-841-2080,대전 유성구 한밭대로 502 홈플러스,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0185&ind=HOMEPLUS
코스트코코리아대전점,1899-9900,대전 중구 오류로 41,매일10:00-22:00,https://www.costco.co.kr/store-finder
이마트 둔산점,042-479-1234,대전 서구 둔산북로 41 대전둔산이마트전용주차장,일요일10:00-23:00,http://emart.com
이마트 대전터미널점,042-615-1234,대전 동구 동서대로 1689 대전복합터미널 (서관),일요일10:00-23:00,http://emart.com
롯데마트 노은점,042-525-2500,대전 유성구 북유성대로 206,매일10:00-23:00,http://company.lottemart.com/noeun.mart
이마트 트레이더스 월평점,042-718-1234,대전 서구 한밭대로 580 신세계이마트,일요일10:00-23:00,http://store.traders.co.kr/service/info02_174.jsp?storeCode=174
롯데마트 서대전점,042-540-2500,대전 유성구 유성대로 26-37,매일10:00-23:00,http://company.lottemart.com/seodaejeon.mart
세이브존 대전점,042-479-9000,대전 서구 둔산로 201 국화아파트,평일10:00-22:00,http://dj.savezone.co.kr/BrandCH/Branch/Main.asp
롯데마트 대덕점,042-930-2500,대전 유성구 테크노중앙로 14 롯데마트대덕테크노밸리점,매일10:00-23:00,http://company.lottemart.com/daedeok.mart
홈플러스 대전둔산점,042-611-8000,대전 서구 문예로 107 홈플러스대전둔산점,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0035&ind=HOMEPLUS
언양기와집불고기,052-262-4884,울산 울주군 언양읍 헌양길 86,매일11:00-21:00,http://www.기와집.kr
베테랑 바베큐,052-239-5515,울산 울주군 서생면 해맞이로 924,매일12:00-21:00,http://blog.naver.com/foodmasta/
바다바라기,052-282-8866,울산 북구 정자1길 111,평일10:00-01:00,https://www.instagram.com/badabaraki
반올림피자샵 울산남구점,052-257-2827,울산 남구 신정로78번길 10,매일12:00-23:30,http://handmadepizza.co.kr
반올림피자샵 울산중구점,050-7987-2802,울산 중구 옥골샘길 12,매일12:00-23:30,http://handmadepizza.co.kr
헤이다이닝,070-8777-7776,울산 남구 돋질로312번길 7,월요일11:30-22:00,https://www.instagram.com/hey_dining/
헤이메르,052-238-0333,울산 울주군 서생면 잿골길 72,매일10:30-23:00,http://www.instagram.com/hey_mer_official
조민석의청년갈비 삼산본점,052-260-1749,울산 남구 삼산중로 26 조민석의청년갈비삼산본점,토요일17:00-24:00,
언양불고기한마당한우촌,052-262-2047,울산 울주군 언양읍 웃방천5길 10,매일11:00-09:30,http://blog.naver.com/hun7611
헤이메르,052-238-0333,울산 울주군 서생면 잿골길 72,매일10:30-23:00,http://www.instagram.com/hey_mer_official
테이블세터,010-3669-4443,울산 울주군 서생면 신리길 102,토요일11:00-20:00,http://www.instagram.com/tablesetter_thesun
카페 수피아,010-4991-6782,울산 울주군 삼남면 장제1길 13-11,매일11:00-21:30,http://instagram.com/cafe_soopia
어글리스토브 울산더테라스가든점,052-257-8459,"울산 남구 삼산로 231 더테라스가든 3층 315,316호",매일11:00-21:30,http://www.uglystove.com/
인얼스커피 울산동구점,052-209-2347,울산 동구 해수욕장7길 5,매일09:00-22:00,http://inearthcoffee.com
빈티큐,070-7553-3240,울산 중구 함월7길 17 1층,매일11:00-23:00,http://vintiquestudio.com/
앙뚜케이크,010-6521-0730,울산 중구 중앙길 107-1,목요일12:00-19:00,http://antoicake.modoo.at/
롯데시네마 울산,1544-8855,울산 남구 삼산로 282 롯데백화점 영플라자3층,,http://www.facebook.com/lottecinema.kr
INGG CINEPARK,,울산 울주군 범서읍 두동로 702,,
태화강국가정원,052-229-7563,울산 중구 태화강국가정원길 154,매일00:00-24:00,
울산대공원,052-271-8818,울산 남구 대공원로 94,평일05:00-23:00,http://www.ulsanpark.com/
학성공원,052-290-4423,울산 중구 학성공원3길 54 학성공원,매일00:00-24:00,
울산애견공원,052-256-6389,울산 남구 남부순환도로 209,매일10:00-18:00,
포니랜드,010-8263-9588,울산 울주군 언양읍 대암1길 153-29,월요일00:00-00:00,http://www.언양자연체험장.kr/
울주해양레포츠센터,052-239-4700,울산 울주군 서생면 해맞이로 1560 해양레포츠센터,,http://울주해양레포츠센터.kr/
라온클라이밍짐,010-5129-2469,울산 남구 삼산로 48 효천빌딩 12층 라온클라이밍짐,평일10:00-22:30,https://kwr9977.modoo.at
요트탈래,1599-1789,부산 해운대구 동백로 52 더베이101 요트투어 매표소,매일09:00-22:00,http://www.yachttale.com
휘폴수영장,052-222-9600,울산 중구 다운로 121,평일06:00-21:00,http://www.fifoal.com/
울산바다낚시터,052-238-8811,울산 울주군 서생면 해맞이로 1078-68,매일08:00-16:00,http://cafe.naver.com/jinha8141
신신낚시 무거점,052-277-8114,울산 남구 남산로 38,매일09:30-21:00,https://smartstore.naver.com/saoutdoor
해적 바다실내낚시터,052-975-1136,울산 남구 대학로76번길 8 지하 1층,매일11:00-23:00,
서프홀릭 울산점,052-237-8584,울산 울주군 서생면 진하해변길 40 서프홀릭 울산,매일08:00-23:00,http://01031121504.ussoft.kr/
호텔현대 바이 라한 울산,052-251-2233,울산 동구 방어진순환도로 875 호텔현대 바이 라한 울산,매일00:00-24:00,https://www.lahanhotels.com/ulsan/index.do
롯데호텔 울산,052-960-1000,울산 남구 삼산로 282 롯데호텔,매일00:00-24:00,https://www.lottehotel.com/ulsan-hotel/ko.html
샌디아온천,052-254-8890,울산 울주군 상북면 알프스온천2길 58,매일18:00-11:00,http://www.sandia.kr/
캠핑월드,010-4406-0012,충북 충주시 동량면 호반로 696-1,,http://충주호캠핑월드.com/
롯데시티호텔 울산,052-990-1000,울산 남구 삼산로 204,매일00:00-24:00,https://www.lottehotel.com/ulsan-city/ko.html
작천정별빛야영장,052-254-7720,울산 울주군 상북면 자수정로 320 작천정별빛야영장 관리사무소,,http://camping.ulju.ulsan.kr/
신라스테이 울산,052-901-9000,울산 남구 삼산로 200,,http://www.shillastay.com/ulsan
스타즈호텔 울산,052-922-4000,울산 남구 남중로 65,,http://www.stazhotelulsan.com
들살이오토캠핑장,010-4841-9822,울산 울주군 상북면 배내로 1064-4,매일00:00-24:00,http://cafe.naver.com/deulsalicamping
롯데마트 울산점,052-228-2500,울산 남구 삼산로 74,매일10:00-23:00,http://company.lottemart.com/ulsan.mart
코스트코코리아 울산점,1899-9900,울산 북구 진장유통로 78-12,매일10:00-22:00,https://www.costco.co.kr/store-finder
홈플러스 울산점,052-290-8000,울산 중구 번영로 475 홈플러스울산점,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0023&ind=HOMEPLUS
이마트 울산점,052-220-1234,울산 남구 남중로 48 울산점E-MART 울산 E-MART,일요일10:00-23:00,http://emart.com
롯데마트 진장점,052-240-2500,울산 북구 진장유통로 64,매일10:00-23:00,http://company.lottemart.com/jinjang.mart
홈플러스 울산남구점,052-270-8000,울산 남구 수암로 148 홈플러스 울산남구점,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0034&ind=HOMEPLUS
메가마트신선도원몰,052-219-6000,울산 북구 진장17길 10,매일10:00-23:00,http://home.megamart.com/store/2705
세이브존 울산점,052-261-9000,울산 남구 번영로250번길 9 세이브존(울산점),매일10:00-22:00,http://us.savezone.co.kr/BrandCH/Branch/Main.asp
홈플러스 울산동구점,052-230-8000,울산 동구 방어진순환도로 637 홈플러스,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0084&ind=HOMEPLUS
홈플러스 울산북구점,052-293-2080,울산 북구 신답로 26 홈플러스,매일10:00-24:00,http://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0165&ind=HOMEPLUS
