place,name,sort,rating,reviews
승촌보오토캠핑장,승촌보오토캠핑장,"캠핑,야영장",0,"['방문자리뷰 2, /accommodation/32769739/review/visitor', '블로그리뷰 163, /accommodation/32769739/review/ugc']"
주노글램핑 광주점,주노글램핑 광주점,"캠핑,야영장",3.54/5,"['방문자리뷰 95, /accommodation/1315883081/review/visitor', '블로그리뷰 40, /accommodation/1315883081/review/ugc']"
광주시민의숲야영장,광주시민의숲야영장,"캠핑,야영장",4.6/5,"['방문자리뷰 5, /accommodation/37069017/review/visitor', '블로그리뷰 87, /accommodation/37069017/review/ugc']"
acc디자인호텔,acc디자인호텔,호텔,4.34/5,"['방문자리뷰 58, /place/776106120/review/visitor', '블로그리뷰 176, /place/776106120/review/ugc']"
광주패밀리랜드 카라반 캠핑장,광주패밀리랜드 카라반 캠핑장,"캠핑,야영장",4.15/5,"['방문자리뷰 10, /accommodation/1679869525/review/visitor', '블로그리뷰 79, /accommodation/1679869525/review/ugc']"
노블스테이,노블스테이,호텔,3.5/5,"['방문자리뷰 5, /place/1074046050/review/visitor', '블로그리뷰 19, /place/1074046050/review/ugc']"
탑클라우드호텔 광주점,탑클라우드호텔 광주점,호텔,3.9/5,"['방문자리뷰 15, /place/1838270500/review/visitor', '블로그리뷰 55, /place/1838270500/review/ugc']"
이마트 광주점,이마트 광주점,"슈퍼,마트",4.41/5,"['방문자리뷰 7,518, /place/13161561/review/visitor', '블로그리뷰 138, /place/13161561/review/ugc']"
롯데마트 광주수완점,롯데마트 광주수완점,"슈퍼,마트",4.34/5,"['방문자리뷰 5,831, /place/13200880/review/visitor', '블로그리뷰 135, /place/13200880/review/ugc']"
롯데마트 월드컵점,롯데마트 월드컵점,"슈퍼,마트",4.34/5,"['방문자리뷰 5,961, /place/13182600/review/visitor', '블로그리뷰 242, /place/13182600/review/ugc']"
롯데마트 첨단점,롯데마트 첨단점,"슈퍼,마트",4.33/5,"['방문자리뷰 5,164, /place/11625312/review/visitor', '블로그리뷰 100, /place/11625312/review/ugc']"
홈플러스 계림점,홈플러스 계림점,"슈퍼,마트",4.36/5,"['방문자리뷰 2,615, /place/13440326/review/visitor', '블로그리뷰 55, /place/13440326/review/ugc']"
롯데마트 상무점,롯데마트 상무점,"슈퍼,마트",4.29/5,"['방문자리뷰 4,600, /place/11625311/review/visitor', '블로그리뷰 102, /place/11625311/review/ugc']"
