place,rating,nickname,review,visited
유성호텔,3,dht****,좋아요,2020.09.23
유성호텔,5,나무늘보,특별한건 없어도 깔끔하고 친절. 여탕도  노천탕 있었으면,2020.09.13
유성호텔,4,sin****,좋아요.,2020.09.01
유성호텔,4,shi****,깨끗하고 좋아요,2020.09.01
유성호텔,4,gal****,잘쉬다가요,2020.08.22
유성호텔,5,Loveblue,수영장 아기들 놀기 좋아요 수모는 필수니까 꼭 챙겨가세요,2020.08.16
유성호텔,4,뮬란,물이 깨끗한 유성 온천👍👍,2020.08.16
유성호텔,5,rum****,좋아요!!#유성온천#바나나우유,2020.08.02
유성호텔,4,호우주의보,조아요,2020.07.27
유성호텔,4.5,soo****,친절하시고 물도 좋아요^^,2020.06.20
유성호텔,5,트위스트를추자,좋아요,2020.06.13
유성호텔,4,제이에이치코리아,좋아요,2020.06.04
유성호텔,4,min****,물좋아요,2020.05.17
유성호텔,4.5,So So,코로나때문에 목욕탕에 사람이 없어서 좋았음,2020.05.16
유성호텔,4,plj****,"평소에 가던 대중탕 말고, 오늘은 조금은 다른 곳으로 가보고 싶어 집에서 조금은 먼, 온천수로 유명한 유성으로 엄마랑 ㄱㄱ!!  유성 대중탕은 여러 곳이 있지만, 저희는 유성호텔 안에 있는 대중탕으로 갔지요~호텔안에있는 목욕탕이서 그런지 시설도 깔끔한편이었습니다.게다가 온천수라 다른 대중탕과는 물도 조금은 다른 듯한 느낌이었어요^^집만 가까우면 매주가고 싶은 곳이었어요",2020.02.09
유성호텔,5,tig****,분위기도  그만이고 맛도 굿,2020.01.16
유성호텔,5,tig****,분위기도 아늑하고경치도 좋고 맛도 굿,2019.12.31
유성호텔,5,84s****,깔끔해요,2019.12.29
유성호텔,5,뎅,온천물이라 머리도 피부도 보들보들^^,2019.12.28
유성호텔,4,충기이영욱,주말에 가서 그런지 人山人海(인산인해)이나 전반적으로 이용에는 큰 불편함이 없다.,2019.12.14
유성호텔,5,태태조아,유성온천의 원천지~ ^^ 린스 안해도 머릿결이 찰랑찰랑!!,2019.11.23
유성호텔,5,kor****,가족여행에 좋았어요^^,2019.11.01
유성호텔,5,mus****,깨끗하고시설좋습니다,2019.10.27
유성호텔,4,아름다운세상,,2019.10.21
유성호텔,4,hea****,오래되었지만 노력하고 있음이 느껴짐.객실 깔끔한 편.대온천탕은 동네목욕탕보다 약간 큰 정도이지만.그래도 온천이니까 뭔지모를 뿌듯함이!,2019.08.07
유성호텔,5,굿포미,"수영장,온천 아이 추가요금이 있지만, 알차게 잘 놀고 올수 있는 곳이랍니다.내부는 깔끔하고 편히 쉬고 놀고오기 좋아요.지하철내려 도보로 충분히 가능한점도 장점입니다.",2019.08.05
유성호텔,4.5,수현,좋아요 자주 이용^^~코로나 빨리가길,2019.02.04
유성호텔,1,ns9****,시설에 비해 너무 비씨다ㅡㅡㅠㅠ,2018.12.23
롯데시티호텔 대전,5,lov****,직원분들 엄청 친절하세요~ 리버뷰도 이쁘고 바로 앞에 성심당 있어서 편하게 다녔어요~,2020.09.20
롯데시티호텔 대전,3.5,TnS,쾌적하고 좋아요  .,2020.09.18
롯데시티호텔 대전,3.5,TnS,쾌적해요     .,2020.09.17
롯데시티호텔 대전,5,또니,좋아요,2020.09.10
롯데시티호텔 대전,3,mas,너무 낡았어요. 방에 먼지가 너무 많아요.그래도 직원분들이 친절합니다,2020.08.31
롯데시티호텔 대전,5,jay****,룸 컨디션 깔끔하고 직원분들 친절하고 좋아요 씨카페도 좋았어요,2020.08.29
롯데시티호텔 대전,5,치킨먹을랭,담에 또와야징,2020.08.18
롯데시티호텔 대전,5,mjm****,조식 맛있게 잘먹었습니다..,2020.08.16
롯데시티호텔 대전,5,bas****,친절하고 깔끔해요. 조식도 맛있어요.,2020.08.12
롯데시티호텔 대전,5,hoh****,깔끔하고 좋아요리버뷰가 아름답네요,2020.08.11
롯데시티호텔 대전,3.5,이즈,연식이 되가는게 느껴져서 아쉬움...,2020.08.09
롯데시티호텔 대전,5,kkh****,잘 머물렀습니다~,2020.08.04
롯데시티호텔 대전,3.5,rlauswl,가구가 조금 손상이 많이 되어 있었지만 잘 쉬었다 갑니다,2020.08.02
롯데시티호텔 대전,5,JujuBoX,객실도 깨끗하고 쾌적합니다직원들도친절하고코로나 발열체크 문진표작성모두 철저하네요18층 조식 식당도 전망  음식다 만족합니다또 가고 싶은 곳,2020.08.01
롯데시티호텔 대전,2,1wn****,수압이 너무 약해요..ㅠㅠ,2020.07.31
롯데시티호텔 대전,3,연완마미,세면대에 머리카락이 있어 좀 찝찝했지만;만족했어요,2020.07.09
롯데시티호텔 대전,4.5,2t2t,친절하고 깔끔한 조식까지~ 18층에서의 조식은넘 좋으네요~~,2020.07.01
롯데시티호텔 대전,5,아이시,라운지에서커피한잔,2020.05.21
롯데시티호텔 대전,5,eeeerrad,친절하고 깔끔함은 평이해요,2020.05.14
롯데시티호텔 대전,5,재현,편안하게 지내고 왔어요 ,2020.04.20
롯데시티호텔 대전,5,재현,방도 넓고 조용하고 편했어요 !,2020.04.18
롯데시티호텔 대전,4,미르,좋아요  ㅎㅎㅎㅎㅎ,2020.03.28
롯데시티호텔 대전,5,bba****,아늑하고 좋아요 ㅎㅎㅎ ,2020.03.28
롯데시티호텔 대전,4,okm****,We stayed at a beach side hotel that have a greart ocean view. The hotel is close to the river and the staff are very friendly. I enjoyed every minute of that trip.,2020.02.29
롯데시티호텔 대전,4,피은,깔끔하구 잘 해놨어요 조식도 적당히 괜찮아요,2020.02.29
롯데시티호텔 대전,4,2ba****,괜찮았어요. 조식은 그럭저럭 괜찮아요,2020.02.23
롯데시티호텔 대전,4,김현주,좋은데 방음이 잘 안되요. 옆방 가족 소리가 너무 크게 들렸어요 ,2020.02.01
롯데시티호텔 대전,5,aft****,"좋았어요, 배게가 너무 편안해요",2020.01.31
롯데시티호텔 대전,5,없음,대전에서 제일 좋은 호텔,2020.01.15
롯데시티호텔 대전,4,고고고,넓은 주차장깨끗한 침구류와 침대괜찮은듯.,2019.12.27
롯데시티호텔 대전,4,맘편히살자,룸이 좁아요. ,2019.12.18
대청호 로하스 캠핑장,3.5,jeo****,좋아요좋아좋아,2020.09.10
대청호 로하스 캠핑장,3.5,도토리,좋아요,2020.08.08
대청호 로하스 캠핑장,5,onlyjesus,경치좋고 바베큐장 대여도 좋습니다~ 숯도 피워주시구요^^,2020.07.30
대청호 로하스 캠핑장,3.5,꼬맹이,캠핑장내 매점이예요저렴하진 않지만 유용한 곳입니다,2020.06.05
대청호 로하스 캠핑장,4,yjh****,잘꾸며있던곳,2020.05.24
대청호 로하스 캠핑장,3,꼬맹이,,2020.05.22
