place,phone,address,hour,url
롯데호텔서울 라세느,02-317-7171,서울 중구 을지로 30 롯데호텔서울 본관 1층,평일11:30-21:30,https://www.lottehotel.com/seoul-hotel/ko/dining/restaurant-la-seine.html
이나니와요스케 시청점,02-772-9994,서울 중구 을지로 6,평일11:00-14:00,http://www.food-biz.or.kr/
명동교자 본점,02-776-5348,서울 중구 명동10길 29,평일10:30-20:30,http://www.mdkj.co.kr/
바비레드 강남본점,02-3452-1515,서울 강남구 봉은사로6길 39 바비레드,매일11:30-22:00,http://www.facebook.com/mybobired
동네아저씨치킨,02-872-0029,서울 관악구 행운2길 16 강수빌딩,매일16:00-02:00,NaN
바토스 이태원점,02-797-8226,서울 용산구 이태원로15길 1 2층,매일11:30-22:00,http://vatoskorea.com
롯데호텔월드 라세느,02-411-7811,서울 송파구 올림픽로 240 롯데호텔월드 2층,NaN,https://www.lottehotel.com/world-hotel/ko/dining/restaurant-la-seine.html
비스타 워커힐 서울 피자힐,02-450-4699,서울 광진구 워커힐로 177 워커힐 호텔앤리조트 피자힐,매일12:00-13:30,https://www.walkerhill.com/vistawalkerhillseoul/dining/PizzaHill
송죽장,02-2631-9184,서울 영등포구 영중로 21,매일11:00-22:00,https://www.facebook.com/pages/%EC%86%A1%EC%A3%BD%EC%9E%A5/149198828504849
목란,02-732-1245,서울 서대문구 연희로15길 21,일요일11:30-15:00,NaN
피오니,02-333-5325,서울 마포구 어울마당로 56,매일12:30-22:30,http://www.menupan.com/restaurant/onepage.asp?acode=D102947
쟝블랑제리,02-889-5170,서울 관악구 낙성대역길 8,매일07:00-22:00,NaN
덕수궁 리에제 와플,02-318-5202,서울 중구 덕수궁길 5,평일08:00-21:30,https://smartstore.naver.com/liegewaffle1/
세상의모든아침,02-2055-4442,"서울 영등포구 여의대로 24 전경련회관 50층, 51층",평일10:00-22:00,http://www.theskyfarm.co.kr/
패션5,02-2071-9505,서울 용산구 이태원로 272 SPC빌딩,매일07:30-22:00,http://www.패션5.com
오아시스,062-376-2758,광주 서구 상일로64번길 1 1층(쌍촌동),NaN,NaN
빌즈 잠실,02-3213-4185,서울 송파구 올림픽로 300 롯데월드몰 1층,매일09:00-22:00,http://www.billskorea.com/
더베이커스테이블,070-7717-3501,서울 용산구 녹사평대로 244-1,월요일08:00-21:00,NaN
빌즈 광화문,02-2251-8404,서울 종로구 종로3길 17 D타워 리플레이스 광화문 4층,매일09:00-22:00,http://www.billskorea.com/
태극당,02-2279-3152,서울 중구 동호로24길 7,매일08:00-22:00,http://www.taegeukdang.com
하늘공원,02-300-5501,서울 마포구 하늘공원로 95,매일05:00-22:00,NaN
낙산공원,02-743-7985,서울 종로구 낙산길 41,매일00:00-24:00,NaN
선유도공원,02-2631-9368,서울 영등포구 선유로 343,매일06:00-24:00,http://parks.seoul.go.kr/seonyudo
북서울꿈의숲,02-2289-4001,서울 강북구 월계로 173,매일00:00-24:00,http://parks.seoul.go.kr/dreamforest
여의도공원,02-761-4079,서울 영등포구 여의공원로 68 여의도공원관리사무소,매일00:00-24:00,http://parks.seoul.go.kr/yeouido
서울숲,02-460-2905,서울 성동구 뚝섬로 273,매일00:00-24:00,http://seoulforest.or.kr/
여의도 한강공원,02-3780-0561,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,매일00:00-24:00,http://hangang.seoul.go.kr/archives/46758
보라매공원,02-2181-1196,서울 동작구 여의대방로20길 33,매일00:00-24:00,http://parks.seoul.go.kr/boramae
서서울호수공원,02-2604-3004,서울 양천구 남부순환로64길 26 신월야구장,매일00:00-24:00,http://parks.seoul.go.kr/lakepark
남산케이블카,02-753-2403,서울 중구 소파로 83,매일10:00-23:00,http://www.cablecar.co.kr/
여의도 이랜드크루즈,02-6291-6900,서울 영등포구 여의동로 280,평일10:30-21:00,http://www.elandcruise.com/
난지한강공원물놀이장,02-3151-0256,서울 마포구 한강난지로 162 한강공원 난지안내센터,매일09:00-19:00,http://hangang.seoul.go.kr/
남산오르미,NaN,서울 중구 소파로 83,NaN,NaN
라뜰리에 현대시티아울렛동대문점,1522-7327,서울 중구 장충단로13길 20 현대시티아울렛 11층,매일10:00-21:00,http://www.light-atelier.com
광나루한강공원수영장,02-470-9561,서울 강동구 올림픽로89길 39,매일09:00-19:00,http://hangang.seoul.go.kr/archives/46585
레이저엑스,02-322-4814,서울 마포구 와우산로 111 태화프라자 5층 레이저엑스,평일12:00-21:30,http://www.instagram.com/laserx777
락스타클라이밍,02-418-8848,서울 송파구 백제고분로 435 예스빌딩,평일11:00-23:00,http://www.rockstarclimbing.co.kr/
서울신라호텔,02-2233-3131,서울 중구 동호로 249,평일00:00-24:00,http://www.shillahotels.com/
그랜드 워커힐 서울,02-455-5000,서울 광진구 워커힐로 177 그랜드워커힐 서울,평일00:00-24:00,http://www.grandwalkerhillseoul.com/
웨스틴조선호텔,02-771-0500,서울 중구 소공로 106,매일00:00-24:00,https://www.josunhotel.com/hotel/westinSeoul.do
그랜드 하얏트 서울,02-797-1234,서울 용산구 소월로 322,매일00:00-24:00,https://www.hyatt.com/ko-KR/hotel/south-korea/grand-hyatt-seoul/selrs?src=prop_misc_selrs_other_naver
밀레니엄 힐튼 서울,02-753-7788,서울 중구 소월로 50,매일00:00-24:00,http://www.seoul.hilton.co.kr/
롯데호텔 서울,02-771-1000,서울 중구 을지로 30,매일00:00-24:00,https://www.lottehotel.com/seoul-hotel/ko.html
난지캠핑장(2021년4월예정),02-304-0061,서울 마포구 한강난지로 22 한강야생탐사센터,평일11:00-10:00,http://www.nanjicamp.com/
JW 메리어트 호텔 서울,02-6282-6262,서울 서초구 신반포로 176 JW 메리어트 호텔 서울,매일00:00-24:00,http://jwmarriottseoul.kr/
코스트코코리아 양재점,1899-9900,서울 서초구 양재대로 159,매일08:00-22:00,https://www.costco.co.kr/store-finder
코스트코코리아 상봉점,1899-9900,서울 중랑구 망우로 336,매일10:00-22:00,http://www.costco.co.kr/locations/sangbong/index.html
롯데마트 잠실점,02-411-8025,서울 송파구 올림픽로 240,매일10:00-23:00,http://company.lottemart.com/branch/bc/main.do?brnchCd=0100018
코스트코코리아 양평점,1899-9900,서울 영등포구 선유로 156,매일10:00-22:00,http://www.costco.co.kr/locations/yangpyung/index.html
빅마켓 영등포점,02-2165-2500,서울 영등포구 영중로 125 롯데마트영등포점,매일10:00-22:00,http://company.lottemart.com/branch/vm/main.do?brnchCd=0400211
롯데마트 구로점,02-2639-2500,서울 구로구 경인로 482 롯데마트구로점,매일10:00-23:00,http://company.lottemart.com/branch/bc/main.do?brnchCd=0100002
롯데마트 서울역점,02-390-2500,서울 중구 한강대로 405,매일10:00-00:00,http://company.lottemart.com/branch/bc/main.do?brnchCd=0100012
이마트 자양점,02-2024-1234,서울 광진구 아차산로 272 이마트자양점,NaN,http://emart.com
이마트마포공덕점,02-2197-1234,서울 마포구 백범로 212 대우 월드마크마포,일요일10:00-23:00,http://emart.com
이마트 구로점,02-2009-1212,서울 구로구 디지털로32길 43 이마트구로점,일요일10:00-23:00,http://emart.com
신발원,051-467-0177,부산 동구 대영로243번길 62,매일11:00-20:00,NaN
본전돼지국밥,051-441-2946,부산 동구 중앙대로214번길 3-8,매일08:30-21:30,NaN
해운대암소갈비집,051-746-0033,부산 해운대구 중동2로10번길 32-10,평일11:30-22:00,http://www.해운대암소갈비.com
수민이네,051-701-7661,부산 해운대구 청사포로58번길 118,매일11:30-05:00,NaN
18번완당집,051-245-0018,부산 중구 비프광장로 31,매일10:30-21:30,NaN
합천일류돼지국밥,051-317-2478,부산 사상구 광장로 34 윌로펌프,평일00:00-24:00,http://www.menupan.com/restaurant/onepage.asp?acode=H601690
삼진어묵 부산역광장점,070-8877-5468,부산 동구 중앙대로214번길 7,매일09:00-21:00,NaN
다리집,051-625-0130,부산 수영구 남천바다로10번길 70 101호,평일11:30-21:00,http://www.darizip.com
해운대 가야밀면,051-747-9404,부산 해운대구 좌동순환로 27,평일09:00-21:00,http://밀면.kr/
웨이브온 커피,051-727-1660,부산 기장군 장안읍 해맞이로 286 웨이브온커피,매일11:00-24:00,http://www.waveoncoffee.com/
옵스 해운대점,051-747-6886,부산 해운대구 중동1로 31,평일09:00-21:00,http://ops.co.kr
용호동할매팥빙수단팥죽 본점,051-623-9946,부산 남구 용호로90번길 24,매일09:00-23:00,NaN
호찐빵,051-722-7025,부산 기장군 일광면 일광로 123 준헤어,매일10:00-22:00,NaN
신기산업,070-8230-1116,부산 영도구 와치로51번길 2,매일11:00-23:00,http://sinki.co.kr/
모모스커피,051-512-7034,부산 금정구 오시게로 20,매일10:00-21:30,http://www.momos.co.kr/
공극샌드커피,051-723-9770,부산 기장군 기장읍 공수해안길 41,매일10:00-23:00,https://www.instagram.com/gonggeuk.sand/
CoffeeRosso,051-721-6788,부산 기장군 기장읍 기장해안로 864,매일11:00-22:00,NaN
영화의전당,051-780-6000,부산 해운대구 수영강변대로 120 영화의전당,NaN,http://www.dureraum.org/
메가박스 부산극장본관,1544-0070,부산 중구 비프광장로 36,NaN,http://www.megabox.co.kr/?menuId=theater-detail&region=55&cinema=6001
부산시민공원,051-850-6000,부산 부산진구 시민공원로 73,매일05:00-24:00,http://citizenpark.or.kr/
민락수변공원,051-610-4742,부산 수영구 민락수변로 129 수변공원(2호) 공중화장실,매일00:00-02:00,http://www.suyeong.go.kr/tour/template.asp?midx=883
