place,name,sort,rating,reviews
롯데호텔서울 라세느,롯데호텔서울 라세느,뷔페,4.56/5,"['방문자리뷰 6,150, /restaurant/11714721/review/visitor', '블로그리뷰 1444, /restaurant/11714721/review/ugc']"
이나니와요스케 시청점,이나니와요스케 시청점,일식당,4.28/5,"['방문자리뷰 225, /restaurant/36690321/review/visitor', '블로그리뷰 409, /restaurant/36690321/review/ugc']"
명동교자 본점,명동교자 본점,"칼국수,만두",4.4/5,"['방문자리뷰 3,714, /restaurant/11592650/review/visitor', '블로그리뷰 6124, /restaurant/11592650/review/ugc']"
바비레드 강남본점,바비레드 강남본점,이탈리아음식,4.29/5,"['방문자리뷰 1,026, /restaurant/21607745/review/visitor', '블로그리뷰 5100, /restaurant/21607745/review/ugc']"
동네아저씨치킨,동네아저씨치킨,"치킨,닭강정",4.3/5,"['방문자리뷰 66, /restaurant/18708805/review/visitor', '블로그리뷰 115, /restaurant/18708805/review/ugc']"
바토스 이태원점,바토스 이태원점,"멕시코,남미음식",4.33/5,"['방문자리뷰 435, /restaurant/21215392/review/visitor', '블로그리뷰 2748, /restaurant/21215392/review/ugc']"
롯데호텔월드 라세느,롯데호텔월드 라세느,뷔페,4.3/5,"['방문자리뷰 457, /restaurant/11726468/review/visitor', '블로그리뷰 878, /restaurant/11726468/review/ugc']"
비스타 워커힐 서울 피자힐,비스타 워커힐 서울 피자힐,피자,4.38/5,"['방문자리뷰 2,702, /restaurant/11611438/review/visitor', '블로그리뷰 1563, /restaurant/11611438/review/ugc']"
송죽장,송죽장,중식당,4.17/5,"['방문자리뷰 1,139, /restaurant/11624155/review/visitor', '블로그리뷰 1798, /restaurant/11624155/review/ugc']"
목란,목란,중식당,4.26/5,"['방문자리뷰 567, /restaurant/11880458/review/visitor', '블로그리뷰 2124, /restaurant/11880458/review/ugc']"
피오니,피오니,케이크전문,4.4/5,"['방문자리뷰 766, /restaurant/19866326/review/visitor', '블로그리뷰 2134, /restaurant/19866326/review/ugc']"
쟝블랑제리,쟝블랑제리,베이커리,4.46/5,"['방문자리뷰 4,610, /restaurant/12800337/review/visitor', '블로그리뷰 2498, /restaurant/12800337/review/ugc']"
덕수궁 리에제 와플,덕수궁 리에제 와플,와플,4.45/5,"['방문자리뷰 2,422, /restaurant/21627288/review/visitor', '블로그리뷰 1313, /restaurant/21627288/review/ugc']"
세상의모든아침,세상의모든아침,브런치,4.2/5,"['방문자리뷰 681, /restaurant/37392371/review/visitor', '블로그리뷰 2764, /restaurant/37392371/review/ugc']"
패션5,패션5,베이커리,4.42/5,"['방문자리뷰 1,563, /restaurant/12851539/review/visitor', '블로그리뷰 2871, /restaurant/12851539/review/ugc']"
오아시스,오아시스,"맥주,호프",0,[]
빌즈 잠실,빌즈 잠실,브런치,4.19/5,"['방문자리뷰 1,633, /restaurant/35751325/review/visitor', '블로그리뷰 1486, /restaurant/35751325/review/ugc']"
