place,rating,nickname,review,visited
롯데호텔서울 라세느,5.00,god****,음식도 맛있었고 무엇보다 직원분들이 하나같이 다 너무 친절 하셔서 기분좋게 먹고 왔습니다!코로나 때문에 뷔페가 아니여서 더 좋았던 것 같아요 ,2020.09.24
롯데호텔서울 라세느,5.00,rl6****,코로나땜에 테이블로 원하는음식 가져다주니까 대접받는느낌  나쁘지않았어요.생일이라고 사진도찍어주시고 액자에 넣어주셨어요.음식도 맛있고 직원분들 다친절하시고 좋았어요^^,2020.09.24
롯데호텔서울 라세느,5.00,권혜원,오늘 12시30예약 한뒤 갓다왔는데 남자친구가 엄청좋아하네요 음식 맛있어요 !새우튀김도진짜맛있고 웰컴디쉬도 맛있었어요 서비스도  매우좋으시구 하나하나 신경써주셔서 감사합니다 ㅎㅎ 추천합니다..대게는 차가워서 조금 비렷어요ㅠㅠ 간장찍어먹으니 괜찮았어요 디저트 과일생크림케이크 부터해서 거의다 먹고 또 생각나는 맛 입니다...,2020.09.24
롯데호텔서울 라세느,5.00,lov****,친절하고 맛있고 넘좋아요 최고의서비스,2020.09.24
롯데호텔서울 라세느,5.00,tgl****,"코로나로 인해 테이블 서비스로 변경 후 이용하였으나 불편한점 없이 응대를 해주셔서 너무 만족스럽습니다.메뉴 70로 줄었으나 어차피 주력 메뉴는 있으니 식사하기에도 무리없고 양갈비, 로브스터, 안심구이, 초밥 특히 맛있습니다마지막으로 전복짬뽕을 먹었는데 매콤하게 마무리하기에 좋았습니다.",2020.09.23
롯데호텔서울 라세느,4.00,망원동일개미,맛있어용 .인기많은 메뉴만 먹어도 배불러서 좋네요!또 직원분이 말씀해주시길 라센느예약 되어있으면 델리카한스에서 케이크 10프로 할인해준다고 말씀해주셔서 할인받았어요! 감사합니다:),2020.09.22
롯데호텔서울 라세느,5.00,끈덕지게,서비스도좋고음식도맛있었어요,2020.09.22
롯데호텔서울 라세느,5.00,미소간지,분위기 음식 너무좋았어요~~이전과 다른 주문방식은 편한하게 식사가능하게 해주어서 너무 좋았어요~,2020.09.21
롯데호텔서울 라세느,5.00,롤롤,직원들이 너무 친절하시고 좋았음 음식도 대체적으로 맛있었습니다 유독 메론 맛있음,2020.09.21
롯데호텔서울 라세느,5.00,yon****,직원분들이 다들 친절하셔서 좋았어요!🙂,2020.09.21
롯데호텔서울 라세느,5.00,토끼멍멍,굉장히 친절하시고랍스타와 양갈비 원없이 먹고왔어요♡,2020.09.21
