place,rating,nickname,review,visited
승촌보오토캠핑장,5,dld****,친절!친절!했음,2020.06.01
주노글램핑 광주점,5,원원,"손님들이 별로 안계셔서 시끄럽지도 않고 너무 좋았습니다 ! 날씨도 너무 좋았고, 보일러도 너무 잘돼서 좋았어요 ㅎㅎ !!",2020.09.22
주노글램핑 광주점,4,63,"방이랑 이불, 화징실 등 나름 깔끔해요~ 근데 식기류는 놀랠만큼 지저분해서 하나도 안썼어요ㅋ",2020.09.20
주노글램핑 광주점,5,냐냥,생각했던 것 보다 더 좋았어용 다음에 또 올거에욯ㅎㅎㅎㅎㅎㅎ,2020.09.19
주노글램핑 광주점,1,uni****,벌레 많고 침대가 식기도구가 너무 더러움,2020.09.17
주노글램핑 광주점,2.5,lco****,모기가 너무 많아요,2020.09.12
주노글램핑 광주점,3,채오니,잘놀다갑니다! 너무 좋았어요!,2020.09.03
주노글램핑 광주점,3,블러드타투,더운 여름인데 에어컨을 미리 켰으면 좋았을꺼 같네요 ,2020.08.19
주노글램핑 광주점,2.5,쿵이,시설이 그냥 그랬어요에어컨운 약하고 선풍기는 위생이 별로이고 화장실이 매우 좁아요 ㅠㅠ,2020.08.19
주노글램핑 광주점,0.5,멋쟁이,방음이 안되서 옆방 소리 다들리네요ㅠㅠㅠ새벽까지 진짜 잠도 못자고 힘들었네요ㅠㅠ,2020.08.18
주노글램핑 광주점,4,서수경,재밌게 놀다왔어요. 도심속에 있는데도 자연으로 캠핑온 느낌이었습니다. 수여장이 있는걸 몰라서 안타깝게 수영은 못했지만 즐거웠어요. 매점에 아이스크림이 없어서 안타까왔네요,2020.08.15
주노글램핑 광주점,5,lov****,좋아요좋아요오오오오오,2020.08.14
주노글램핑 광주점,5,tksxk,다음에 또 오겠습니다.,2020.08.11
주노글램핑 광주점,5,wjd****,아기 대리고 가도 좋은 곳이에요,2020.08.04
주노글램핑 광주점,0.5,어린양,너무 붙어있어서 방음장치 제로 옆쪽 커플이와서 3시넘어서까지 술마시고 이야기하고 경우 4시쯤잤음주방에 방역좀 해야할듯개미가 너무많음,2020.08.02
주노글램핑 광주점,5,져스트라이커,도심속휴식,2020.07.24
주노글램핑 광주점,4,박지애,두번째 방문인데 좋앗어오 ㅎㅎ,2020.07.21
주노글램핑 광주점,3,thlm23,화장실세면대에 양치질 한 번이 안 끝나는데도 물이 막혀요...가격에 비한 시설은 아니였던 것 같아요!,2020.07.18
주노글램핑 광주점,0.5,우비,성수기라지만 코로나때문에 예약자가 거의 없어서 텅텅 비었는데 이럴땐 그냥 비수기가격으로..(식기 제대로 설거지도 안되어있음)밤 11시 12시 이후 술에 취해 인사불성인 다른객실 때문에 너무 시끄럽고 새벽3시까지 잠을 제대로 못잠통제를 전혀 안되는 곳이라 가서 힐링하러 가시는 분들중 밤귀 어두운 분이라면 괜찮겠지만 아니라면 그닥 추천 안함,2020.07.16
주노글램핑 광주점,3,이강희,혹시나하고 바닥 닦았는데 까만 때 나와서 당황했어요.. 야외에 있는 곳이라 관리가 잘 되어야할텐데..아쉽네요.새벽엔 고양이가 음식물쓰레기통 뒤져서 2차당황이었어요.. 새벽에 쾅소리가 나길래 무서워서 나가보질 못햇는데 한참 뒤 나가보니 음식물쓰레기통이 엎어져있더라구요.. 첨엔 박스 위에 올려둬서 그런건가햇는데 총 5번 넘어지는거보고ㅋㅋㅋ 고양이다 싶더라구요..위치도 괜찮고 놀기 재밌긴 한데.. 일회용품 사용 강추드립니다......ㅎ,2020.07.03
주노글램핑 광주점,3.5,정콩,모기 너무많아요 갈때 모기향이랑약 필수 도심속에서 글램핑하기 좋았어요 새벽에시끄럽긴했지만 전화했더니 금방 조용해졌으오 ,2020.06.28
