place,mean_visit
롯데호텔서울 라세느,[6.5  3.33 3.4  3.25 3.75 4.67 4.5 ]
이나니와요스케 시청점,[1.   1.2  1.57 1.06 1.   1.11 1.  ]
명동교자 본점,[2.67 3.5  2.17 2.25 2.67 3.75 4.5 ]
바비레드 강남본점,[1.67 1.7  1.38 1.67 2.38 2.1  1.71]
동네아저씨치킨,[1.17 1.   1.   1.25 1.6  1.   1.  ]
바토스 이태원점,[1.38 1.   1.33 1.4  1.17 1.13 1.3 ]
롯데호텔월드 라세느,[1.57 1.86 1.82 1.44 1.43 1.86 1.43]
비스타 워커힐 서울 피자힐,[2.33 3.   2.43 2.57 2.71 2.17 1.4 ]
송죽장,[1.33 1.57 1.89 2.2  1.8  3.62 2.14]
목란,[1.   1.38 1.17 1.44 2.09 2.22 2.62]
피오니,[1.09 1.5  1.78 1.5  1.36 1.56 1.73]
쟝블랑제리,[3.67 7.   2.33 3.67 8.   5.   6.33]
덕수궁 리에제 와플,[3.67 5.33 3.33 4.33 6.5  5.67 3.33]
세상의모든아침,[2.29 2.   1.33 2.75 1.43 3.   2.5 ]
패션5,[1.5  3.5  1.4  2.71 2.57 2.25 2.57]
빌즈 잠실,[1.2  2.   1.8  2.67 2.4  2.   2.22]
더베이커스테이블,[1.5  1.23 1.29 1.4  1.1  1.4  1.7 ]
빌즈 광화문,[3.   2.71 2.14 2.17 4.25 1.17 2.  ]
태극당,[1.6  2.83 2.   2.4  2.8  4.   3.5 ]
하늘공원,[1. 1. 1. 1. 1. 1. 1.]
낙산공원,[1.2  1.   1.   1.33 1.   2.   1.  ]
선유도공원,[1. 1. 1. 1. 1. 1. 1.]
북서울꿈의숲,[1.   1.   1.   1.33 1.   1.   1.  ]
서울숲,[1. 1. 1. 1. 1. 1. 1.]
여의도 한강공원,[1. 1. 1. 1. 1. 1. 1.]
보라매공원,[1. 1. 1. 1. 1. 1. 1.]
서서울호수공원,[1. 1. 1. 1. 1. 1. 1.]
남산케이블카,[1.88 1.14 1.2  2.25 2.12 3.33 1.88]
여의도 이랜드크루즈,[1.5  1.33 1.2  1.6  2.8  4.62 3.  ]
라뜰리에 현대시티아울렛동대문점,[2.33 1.8  1.6  2.   1.88 3.22 2.17]
레이저엑스,[1.   1.   1.   1.   1.   2.   1.25]
락스타클라이밍,[1. 1. 1. 1. 1. 1. 1.]
서울신라호텔,[2.29 3.67 3.2  3.86 2.2  1.8  1.67]
그랜드 워커힐 서울,[1.31 1.67 1.25 1.67 1.33 1.5  1.4 ]
웨스틴조선호텔,[2.   1.57 2.33 1.5  1.83 3.12 2.62]
그랜드 하얏트 서울,[1.5  2.17 1.67 1.67 2.29 2.5  2.22]
밀레니엄 힐튼 서울,[1.2  1.12 1.25 1.   1.   1.29 1.36]
롯데호텔 서울,[1.   1.38 1.4  2.   1.57 1.29 1.36]
난지캠핑장(2021년4월예정),[1.89 1.   2.75 4.   1.4  3.   2.  ]
JW 메리어트 호텔 서울,[1.   1.2  1.6  1.5  1.45 1.67 1.2 ]
코스트코코리아 양재점,[16.  13.  10.   9.5  8.  19.  15. ]
코스트코코리아 상봉점,[21. 18. 15. 11.  1. 11. 24.]
롯데마트 잠실점,[ 8.   9.5  4.   6.  11.  21.  13. ]
코스트코코리아 양평점,[23. 14. 17. 15.  1. 14. 17.]
빅마켓 영등포점,[10.5  5.   7.   3.   7.  14.5  6.5]
롯데마트 구로점,[7.5  5.33 3.   4.33 7.   9.5  7.  ]
롯데마트 서울역점,[ 6.   4.5  6.   4.   8.5 13.5  5.5]
이마트 자양점,[16.   7.5 11.   9.5  7.   9.  12. ]
이마트마포공덕점,[6.   5.67 5.33 5.33 5.   9.   5.5 ]
이마트 구로점,[ 9.5  5.   4.5  4.   6.  15.5  5.5]
신발원,[2.2  2.2  2.5  1.67 2.   3.67 3.71]
본전돼지국밥,[2.2  2.29 2.5  1.8  2.6  2.75 2.  ]
해운대암소갈비집,[1.8  2.14 2.86 1.62 1.67 1.57 2.12]
수민이네,[1.   1.5  1.78 1.43 1.45 1.56 1.58]
18번완당집,[1.   1.   1.   1.33 1.2  1.5  1.06]
