Name,Call,Address,Operation,Naver_link,rank,star_score,Visitors,Blog,Category,city
롯데마트 잠실점,02-2639-2500,서울 구로구 경인로 482 롯데마트구로점,매일10:00-23:00,http://company.lottemart.com/branch/bc/main.do?brnchCd=0100002,0.00,4,7842,332,마트,서울
코스트코코리아 상봉점,02-2165-2500,서울 영등포구 영중로 125 롯데마트영등포점,매일10:00-22:00,http://company.lottemart.com/branch/vm/main.do?brnchCd=0400211,0.00,4,14805,2568,마트,서울
만다복,070-7607-1691,인천 강화군 화도면 해안남로1691번길 43-12,매일10:00-21:00,NaN,0.00,4,636,1469,식당,인천
울주해양레포츠센터,062-972-3111,광주 광산구 임방울대로825번길 57-1,매일00:00-24:00,NaN,0.00,4,55,126,액티비티,광주
동성로작은방,053-422-2928,대구 중구 동성로1길 29-6,평일09:00-22:00,http://cafe.naver.com/choiganecake/,0.00,4,579,593,식당,대구
신승반점,070-8862-1512,인천 연수구 인천타워대로132번길 30,토요일11:00-21:00,https://www.instagram.com/grida.dessert,0.00,4,597,1084,식당,인천
라온클라이밍짐,062-360-0123,광주 서구 죽봉대로 61 광주 이마트,일요일10:00-23:00,http://emart.com,0.00,0,1,19,액티비티,광주
수성패밀리파크,053-602-7114,대구 수성구 팔현길 212 호텔인터불고,매일00:00-24:00,http://www.hotel-interburgo-daegu.com/,0.00,0,1,192,공원,대구
망우당공원,053-983-8886,대구 동구 용천로 58,주말11:00-21:00,http://0539838886.modoo.at/,0.00,0,1,122,공원,대구
팔공산케이블카,053-981-4771,대구 동구 동화사2길 21-7,매일11:00-21:00,http://www.ok80.co.kr,0.00,4,2083,1154,액티비티,대구
빅버드 패러글라이딩 스쿨,053-253-7711,대구 중구 달구벌대로 2033 엘디스리젠트호텔,매일00:00-24:00,http://www.eldishotel.com/,0.00,0,2083,1154,액티비티,대구
하이바다,032-880-4500,인천 미추홀구 수봉안길 84,매일00:00-24:00,NaN,0.01,4,794,1727,카페,인천
락스타클라이밍,02-771-0500,서울 중구 소공로 106,매일00:00-24:00,https://www.josunhotel.com/hotel/westinSeoul.do,0.01,4,30,340,액티비티,서울
뻘다방,032-509-6970,인천 부평구 신트리로 21 북구도서관,NaN,NaN,0.01,4,2037,2237,식당,인천
대저생태공원,051-701-4851,"부산 해운대구 송정해변로 50 1층,2층 서프홀릭",매일06:00-00:00,http://surfholic.co.kr/,0.01,4,8,1704,공원,부산
신기산업,051-780-6000,부산 해운대구 수영강변대로 120 영화의전당,NaN,http://www.dureraum.org/,0.01,4,402,1620,카페,부산
이마트마포공덕점,051-441-2946,부산 동구 중앙대로214번길 3-8,매일08:30-21:30,NaN,0.01,4,7389,149,마트,부산
서프홀릭 본점,051-550-6000,부산 동래구 충렬대로 197 메가마트,매일08:00-03:00,http://home.megamart.com/store/2701,0.01,4,327,414,액티비티,부산
카페오라,032-509-8820,인천 부평구 평천로 26-47,평일09:00-18:00,http://butterflypark.icbp.go.kr/,0.01,0,1437,1035,식당,인천
송쭈집 본점,032-746-3977,인천 중구 마시란로 155,매일10:30-21:00,NaN,0.01,4,606,663,식당,인천
5.18자유공원,1588-8069,대전 중구 대종로480번길 15,평일08:00-22:00,https://www.sungsimdang.co.kr/,0.01,0,2,174,공원,대전
부산시민공원,051-209-2000,부산 사하구 낙동남로 1240,매일09:00-18:00,http://www.busan.go.kr/wetland/index,0.01,4,720,4045,공원,부산
포니랜드,062-445-7700,광주 광산구 임방울대로826번길 19-7,매일00:00-24:00,https://blog.naver.com/ns-hotel,0.01,4,75,107,액티비티,광주
공룡발자국공원,062-607-8088,광주 북구 우치로 677,매일00:00-24:00,http://familyland.dainkorea.co.kr/index_camping.html,0.01,4,4,193,공원,광주
아우어베이커리 광주첨단점,062-607-8088,광주 북구 우치로 677,매일00:00-24:00,http://familyland.dainkorea.co.kr/index_camping.html,0.01,4,678,200,카페,광주
부산요트투어 요트야,051-758-5700,부산 수영구 광안해변로 229 켄트호텔,매일00:00-24:00,http://kensington.co.kr/hga,0.01,0,5,829,액티비티,부산
수영요트경기장,051-810-1000,부산 부산진구 가야대로 772,매일00:00-24:00,https://www.lottehotel.com/busan-hotel/ko.html,0.01,3,5,829,액티비티,부산
달성습지 생태학습관,053-380-0114,대구 북구 유통단지로 80,NaN,http://www.ibexco.co.kr/index.html,0.01,0,1,122,공원,대구
요트탈래,062-975-2500,광주 광산구 장신로 98,매일10:00-23:00,http://company.lottemart.com/suwan.mart,0.01,4,1028,195,액티비티,광주
어나더키친,1544-8855,광주 광산구 장신로 98,NaN,http://www.facebook.com/lottecinema.kr,0.01,4,607,1769,식당,광주
이츠미 상무점,032-466-7282,인천 남동구 무네미로 236,매일05:00-23:00,http://park.incheon.go.kr,0.01,4,135,14,NaN,인천
