Name,Call,Address,Operation,Naver_link,rank,star_score,Visitors,Blog,Category
롯데호텔서울 라세느,02-317-7171,서울 중구 을지로 30 롯데호텔서울 본관 1층,평일11:30-21:30,https://www.lottehotel.com/seoul-hotel/ko/dining/restaurant-la-seine.html,1.5308769179079404,4,6150,1444,뷔페
이나니와요스케 시청점,02-772-9994,서울 중구 을지로 6,평일11:00-14:00,http://www.food-biz.or.kr/,0.2691230820920596,4,225,409,일식당
명동교자 본점,02-776-5348,서울 중구 명동10길 29,평일10:30-20:30,http://www.mdkj.co.kr/,1.8,4,3714,6124,"칼국수,만두"
바비레드 강남본점,02-3452-1515,서울 강남구 봉은사로6길 39 바비레드,매일11:30-22:00,http://www.facebook.com/mybobired,1.4595236132860792,4,1026,5100,이탈리아음식
동네아저씨치킨,02-872-0029,서울 관악구 행운2길 16 강수빌딩,매일16:00-02:00,,0.3404763867139207,4,66,115,"치킨,닭강정"
바토스 이태원점,02-797-8226,서울 용산구 이태원로15길 1 2층,매일11:30-22:00,http://vatoskorea.com,1.8,4,435,2748,"멕시코,남미음식"
롯데호텔월드 라세느,02-411-7811,서울 송파구 올림픽로 240 롯데호텔월드 2층,,https://www.lottehotel.com/world-hotel/ko/dining/restaurant-la-seine.html,0.0893582007679649,4,457,878,뷔페
비스타 워커힐 서울 피자힐,02-450-4699,서울 광진구 워커힐로 177 워커힐 호텔앤리조트 피자힐,매일12:00-13:30,https://www.walkerhill.com/vistawalkerhillseoul/dining/PizzaHill,1.2204059243006034,4,2702,1563,피자
송죽장,02-2631-9184,서울 영등포구 영중로 21,매일11:00-22:00,https://www.facebook.com/pages/%EC%86%A1%EC%A3%BD%EC%9E%A5/149198828504849,0.05924300603400988,4,1139,1798,중식당
목란,02-732-1245,서울 서대문구 연희로15길 21,일요일11:30-15:00,,0.43099286889742183,4,567,2124,중식당
피오니,02-333-5325,서울 마포구 어울마당로 56,매일12:30-22:30,http://www.menupan.com/restaurant/onepage.asp?acode=D102947,1.8,4,766,2134,케이크전문
쟝블랑제리,02-889-5170,서울 관악구 낙성대역길 8,매일07:00-22:00,,1.1893106119287373,4,4610,2498,베이커리
